transaction_id,corruption_type,original_value,corrupted_value,difference
TXN000655,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000115,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000026,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000760,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000282,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000251,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000229,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000143,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000755,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000105,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000693,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000759,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000914,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000559,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000090,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000605,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000433,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000033,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000031,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000096,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000224,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000239,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000518,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000617,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000028,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000575,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000204,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000734,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000666,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000719,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000430,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000226,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000460,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000604,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000285,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000829,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000891,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000007,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000778,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000826,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000164,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000715,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000349,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000160,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000221,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000981,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000782,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000345,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000095,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000390,MISSING_GATEWAY_RECORD,PRESENT,MISSING,
TXN000100,MISSING_BANK_RECORD,PRESENT,MISSING,
TXN000368,MISSING_BANK_RECORD,PRESENT,MISSING,
