transaction_id,order_id,original_amount,currency,merchant_name,transaction_date,bank_reference,expected_order_match,expected_gateway_match,expected_bank_match
TXN000001,ORD000001,8911.98,INR,Urban Fashion,2026-08-18,BANK-9C1A113D,True,True,True
TXN000002,ORD000002,1380.9,INR,Tech World,2026-08-19,BANK-22CED1CD,True,True,True
TXN000003,ORD000003,17011.51,INR,Sri Lakshmi Stores,2026-08-11,BANK-04E9054A,True,True,True
TXN000004,ORD000004,9411.0,INR,Urban Fashion,2026-08-18,BANK-09439158,True,True,True
TXN000005,ORD000005,16682.62,INR,Urban Fashion,2026-08-07,BANK-1E5B9B39,True,True,True
TXN000006,ORD000006,24304.41,INR,Sri Lakshmi Stores,2026-08-04,BANK-FFADD994,True,True,True
TXN000007,ORD000007,14238.09,INR,Daily Needs,2026-08-01,BANK-8B3F3329,True,True,True
TXN000008,ORD000008,20471.9,INR,Fresh Mart,2026-08-07,BANK-D7959017,True,True,True
TXN000009,ORD000009,419.43,INR,Fresh Mart,2026-08-01,BANK-66A19703,True,True,True
TXN000010,ORD000010,2166.36,INR,Tech World,2026-08-10,BANK-D3E3E52F,True,True,True
TXN000011,ORD000011,2703.76,INR,Sri Lakshmi Stores,2026-08-07,BANK-C68CC159,True,True,True
TXN000012,ORD000012,6347.69,INR,Urban Fashion,2026-08-18,BANK-0CBE993B,True,True,True
TXN000013,ORD000013,17142.83,INR,Fresh Mart,2026-08-12,BANK-77101D2D,True,True,True
TXN000014,ORD000014,10635.99,INR,ABC Electronics,2026-08-08,BANK-F42B130D,True,True,True
TXN000015,ORD000015,14889.65,INR,Urban Fashion,2026-08-15,BANK-F264B62D,True,True,True
TXN000016,ORD000016,18473.58,INR,Green Grocery,2026-08-02,BANK-CADD5AAF,True,True,True
TXN000017,ORD000017,11769.04,INR,Daily Needs,2026-08-19,BANK-0FCEE897,True,True,True
TXN000018,ORD000018,16621.44,INR,Urban Fashion,2026-08-20,BANK-DBBD8FA1,True,True,True
TXN000019,ORD000019,16366.12,INR,Urban Fashion,2026-08-05,BANK-38D68155,True,True,True
TXN000020,ORD000020,4352.11,INR,Tech World,2026-08-16,BANK-2A096A78,True,True,True
